inv_num,name,desc,warehouse,rating,quantity,price,date_added,date_changed
56926231,Кавоварка,"Кавоварка - Кавоварка зручна та швидка у використанні, забезпечує насолоду свіжої кави кожного ранку",D,5,15,60,2020-11-08,2021-11-29
24617734,Стиральний порошок,"Стиральний порошок - Стиральний порошок, який ефективно видаляє плями і залишає білизну свіжою та чистою",D,3,260,2317,2022-04-11,2022-05-01
77971654,М'яч для футболу,"М'яч для футболу - Яскравий та міцний м'яч, ідеальний для гри у футбол з друзями або на тренуваннях",D,4,11,61,2020-07-19,2023-10-26
97115359,Шампунь,"Шампунь - Шампунь з натуральними інгредієнтами, який делікатно очищує волосся та залишає його м'яким і сяючим",C,10,3,1014,2021-01-11,2022-05-23
61264458,Фотоапарат,"Фотоапарат - Професійний фотоапарат з високою роздільною здатністю, що дозволяє зафіксувати найяскравіші моменти життя",A,6,28,225,2022-12-18,2023-07-30
28932284,Ноутбук,"Ноутбук - Компактний і потужний ноутбук, ідеальний для роботи, навчання або розваг",D,1,423,2943,2021-01-02,2023-08-20
90963988,Соковитискач,"Соковитискач - Соковитискач, який легко перетворює свіжі фрукти та овочі на смачні соки з великою кількістю вітамінів",A,1,755,309,2022-02-28,2022-12-21
35889328,Підручник з математики,"Підручник з математики - Зрозумілий підручник з математики, який допомагає учням засвоювати складні концепції і покращувати свої знання",C,4,10,561,2020-05-08,2023-12-11
06644055,Портфель,"Портфель - Стильний та функціональний портфель для перенесення ноутбука, документів та інших предметів у повсякденному житті",A,6,507,59,2024-01-15,2024-03-25
72077306,Віскі,"Віскі - Високоякісний віскі з багатим смаком і ароматом, який ідеально підходить для вечірнього відпочинку або спеціальних подій",C,6,712,3433,2020-06-02,2022-02-15
37549794,Посудомийна машина,"Посудомийна машина - Посудомийна машина, яка ефективно миє посуд і заощаджує час на кухні, забезпечуючи ідеальну чистоту",D,8,271,218,2022-07-18,2023-03-15
57755694,Ручка,"Ручка - Елегантна ручка з високоякісними чорнилами, що забезпечує плавний писок і зручне тримання",A,7,1,169,2022-11-08,2023-11-24
92298620,Ластик,"Ластик - Ластик, який легко видаляє сліди олівця на папері, не залишаючи бруду або подряпин",C,10,1,565,2023-04-21,2024-01-26
46067470,Ароматизатор повітря,"Ароматизатор повітря - Ароматизатор повітря з приємним ароматом, який створює атмосферу затишку та комфорту у будь-якому приміщенні",D,10,21,4346,2021-05-31,2024-03-09
72426050,Гітара,"Гітара - Професійна гітара з чудовим звуком, ідеальна для виконання музики будь-якого стилю",C,9,282,1720,2021-10-28,2023-04-29
81074167,Піцца в асортименті,"Піцца в асортименті - Смачна піцца з різноманітними начинками, яка задовольнить навіть найвибагливіших гурманів",B,6,450,1283,2021-06-05,2023-12-04
10061800,Джинсові штани,"Джинсові штани - Зручні та стильні джинси, які підходять для будь-якої обстановки і виглядають завжди модно",C,1,18,173,2022-11-15,2023-04-27
41231494,М'ясорубка,"М'ясорубка - М'ясорубка, яка швидко та ефективно подрібнює м'ясо для приготування смачних страв",D,9,15,154,2020-08-31,2021-12-28
15167620,Книга про історію,"Книга про історію - Цікава книга, що розповідає про ключові події та постаті історії світу",A,5,251,416,2022-10-04,2023-05-28
69989995,Фітнес-мат,"Фітнес-мат - Комфортний та міцний фітнес-мат, який допомагає виконувати вправи з комфортом та безпекою",B,7,13,58,2020-03-07,2021-01-13
12083237,Чайник,"Чайник - Електричний чайник, який швидко кип'ятить воду для чаю або кави зручно та ефективно",A,9,20,79,2021-07-19,2024-04-06
49763935,Акустичні колонки,"Акустичні колонки - Високоякісні акустичні колонки, які забезпечують чистий і потужний звук для прослуховування музики або перегляду фільмів",C,5,104,83,2023-08-02,2023-11-28
75321871,Пальто,"Пальто - Стильне та тепле пальто, яке додає образу елегантності і комфорту в холодну погоду",B,5,67,3865,2022-07-17,2023-10-22
74604548,Підгузки,"Підгузки - Підгузки, які забезпечують сухість та комфорт для дитини протягом усієї доби",C,2,271,5739,2020-08-28,2022-08-06
85072985,Масло для тіла,"Масло для тіла - Відновлююче масло для тіла з натуральними інгредієнтами, яке зволожує шкіру і надає їй гладкість і м'якість",C,6,39,146,2023-02-27,2023-12-05
74429523,Пазли,"Пазли - Цікаві пазли, які розвивають логічне мислення та уяву, ідеальні для проведення часу в родинному колі",C,9,45,125,2024-01-06,2024-02-03
36162611,Фен для волосся,"Фен для волосся - Потужний фен для швидкого та ефективного сушіння волосся, забезпечуючи стійку укладку і об'єм",D,2,7,54,2022-09-10,2023-06-09
41771006,Ракетка для тенісу,"Ракетка для тенісу - Професійна ракетка для тенісу, яка допомагає покращити техніку гри і отримати задоволення від спорту",D,6,6,132,2023-02-27,2023-11-06
32313284,Квіти (букет),"Квіти (букет) - Ніжний букет квітів, який створює атмосферу радості та щастя в будь-який особливий момент",C,4,2,1082,2024-03-26,2024-03-26
87544299,Соняшникова олія,"Соняшникова олія - Природна соняшникова олія, яка містить корисні жирні кислоти і вітаміни, необхідні для здоров'я",D,10,1,2413,2023-04-30,2023-05-17
67753307,Іграшковий ведмідь,"Іграшковий ведмідь - М'який та пухнастий іграшковий ведмідь, який стане найкращим другом для дитини",B,5,2,83,2021-12-27,2023-04-10
27426135,Постільна білизна,"Постільна білизна - Якісна постільна білизна, яка забезпечує комфортний сон і заряд енергії на цілий день",B,9,5,45,2021-06-28,2024-04-08
57003818,Вінілові пластинки,"Вінілові пластинки - Класичні вінілові пластинки з улюбленою музикою, які додають атмосферу ностальгії та затишку",C,2,130,66,2022-05-07,2023-08-08
16327795,Спортивні штани,"Спортивні штани - Зручні та стильні спортивні штани, які ідеально підходять для занять спортом або повсякденного використання",C,2,4,203,2020-04-01,2022-04-14
39683410,Велосипед,"Велосипед - Маневрений і надійний велосипед, який дозволяє насолоджуватися активним способом життя і досліджувати нові місця",C,7,76,972,2024-02-11,2024-03-02
04968726,Столові ложки,"Столові ложки - Стильні та практичні столові ложки, які додають елегантності до будь-якого столу",B,2,51,2385,2020-10-07,2023-07-21
01516845,Газонокосарка,"Газонокосарка - Потужна газонокосарка, яка забезпечує рівний і красивий газон за короткий час",A,10,28,67,2021-09-16,2022-01-15
01267778,Квартирний рослина,"Квартирний рослина - Красива квартирна рослина, яка прикрашає і освіжає інтер'єр приміщення та покращує його мікроклімат",C,6,1,1643,2020-11-06,2021-09-15
59987307,Ковдра,"Ковдра - Пухкі та затишні ковдри, які забезпечують комфортний сон і відпочинок під час холодних ночей",A,4,158,5262,2020-06-13,2022-04-13
46168771,Мультиварка,"Мультиварка - Функціональна мультиварка, яка дозволяє готувати різноманітні страви швидко та легко, зекономивши час і енергію",B,10,754,141,2023-01-02,2023-08-03
58480540,Підставка для телефону,"Підставка для телефону - Зручна підставка для телефону, яка дозволяє використовувати пристрій з комфортом під час перегляду відео або читання",C,5,34,441,2022-10-14,2024-04-16
21416514,Річний журнал,"Річний журнал - Стильний річний журнал, який допомагає планувати розклад дня і відстежувати досягнення мети на протязі року",D,2,3,125,2021-10-10,2022-06-19
98358762,Барвисті фломастери,"Барвисті фломастери - Яскраві та малюнкові фломастери, які дозволяють виявити творчість та фантазію у дітей та дорослих",A,8,88,270,2023-11-11,2024-01-04
99068332,Зубна щітка,"Зубна щітка - Ергономічна зубна щітка, яка дбайливо очищає зуби і ясна, забезпечуючи свіжий подих і здоров'я ротової порожнини",C,2,4,74,2022-11-24,2024-03-01
06178468,Ароматичні свічки,"Ароматичні свічки - Ароматичні свічки з приємним ароматом, які створюють атмосферу затишку і релаксації в будь-якому приміщенні",D,9,8,868,2023-10-09,2023-12-06
93031240,Відеокамера,"Відеокамера - Професійна відеокамера, яка дозволяє записувати відео високої якості та зафіксовувати важливі моменти життя",D,6,3,2649,2020-03-05,2024-03-13
59512967,Портативний блендер,"Портативний блендер - Компактний та потужний портативний блендер, який дозволяє приготувати смачні коктейлі та супи в будь-якому місці",C,6,124,1343,2024-01-28,2024-02-12
60644640,Ігрова консоль,"Ігрова консоль - Сучасна ігрова консоль, яка надає можливість насолоджуватися захоплюючими іграми разом з друзями або сім'єю",D,3,233,4420,2022-01-08,2022-09-24
64746135,Дитяча коляска,"Дитяча коляска - Зручна та безпечна дитяча коляска, яка забезпечує комфортну подорож для малюка та його батьків",B,3,165,804,2022-11-13,2024-03-28
22576705,Замок для велосипеда,"Замок для велосипеда - Надійний замок для велосипеда, який захищає транспортний засіб від крадіжки та забезпечує спокій думки",D,10,1,241,2023-07-29,2023-11-24
55034579,Соковити фрукти,"Соковиті фрукти - Свіжі та соковиті фрукти, які додають енергії та вітамінів у щоденну дієту і підтримують здоров'я",D,8,57,421,2021-12-22,2021-12-23
34226889,Спортивні шкарпетки,"Спортивні шкарпетки - Зручні та дихаючі спортивні шкарпетки, які забезпечують комфорт та підтримку під час тренувань або активного відпочинку",A,3,1,312,2020-07-01,2021-04-20
95837345,Телефонний кабель,"Телефонний кабель - Довгий та міцний телефонний кабель, який дозволяє заряджати смартфон або передавати дані зручно і безпечно",B,7,40,509,2021-01-26,2023-09-16
61632783,Дитячі книжки,"Дитячі книжки - Яскраві та захоплюючі дитячі книжки, які розвивають мовлення, уяву та когнітивні здібності малюків",C,8,8,55,2022-09-12,2023-04-08
51539634,Підгузки для дорослих,"Підгузки для дорослих - Комфортні та надійні підгузки для дорослих, які забезпечують захист від протікання та забруднення під час денного і нічного використання",C,8,88,1631,2023-01-14,2023-04-10
51279707,Тенісний стіл,"Тенісний стіл - Професійний тенісний стіл, який надає можливість насолоджуватися грою з друзями або сім'єю в будь-яку погоду",C,3,25,297,2021-12-30,2023-10-05
46612533,Картридж для принтера,"Картридж для принтера - Високоякісний картридж для принтера, який забезпечує якісний друк і довговічність друкування",C,7,253,90,2024-02-13,2024-03-12
41948675,Кулі для ручки,"Кулі для ручки - Надійні та міцні кулі для ручки, які забезпечують гладкий писок і довговічність використання",A,7,319,1636,2024-04-17,2024-04-19
71186757,Тепла куртка,"Тепла куртка - Тепла та затишна куртка, яка захищає від холоду та вітру, ідеальна для прогулянок на свіжому повітрі в холодну пору року",A,2,27,693,2024-02-14,2024-02-15
21682063,Заварний чайник,"Заварний чайник - Зручний та елегантний заварний чайник, який дозволяє насолоджуватися ароматним чаєм з максимальною зручністю",A,10,4,106,2023-06-07,2023-06-27
93730907,Футбольна форма,"Футбольна форма - Стильна та зручна футбольна форма, яка забезпечує комфорт та свободу рухів під час гри у футбол",B,7,8,107,2022-08-17,2022-08-19
85894341,Шоколадні цукерки,"Шоколадні цукерки - Ніжні та смачні шоколадні цукерки, які додають настрою та насолоди в будь-який момент дня",B,4,12,46,2022-10-10,2023-09-07
69898525,Кухонний таймер,"Кухонний таймер - Практичний кухонний таймер, який допомагає контролювати час приготування страв і уникнути їх переварювання або підгорання",B,7,11,769,2020-01-23,2021-01-02
36061648,Картина для стіни,"Картина для стіни - Мистецька картина для стіни, яка надає приміщенню особливого шарму і неповторності",D,7,20,146,2022-05-26,2024-03-04
65665763,Підставка під келих,"Підставка під келих - Елегантна підставка під келих, яка додає елегантності і стилю до будь-якого застілля або вечірки",A,2,6,1188,2020-06-06,2021-06-01
56901627,Лампочка LED,"Ліжко - Комфортне та зручне ліжко, яке забезпечує здоровий сон і відпочинок після довгого дня",B,4,224,748,2024-03-24,2024-04-12
57527062,Дитячі візерунки,"Скейтборд - Стильний та маневрений скейтборд, який дозволяє виконувати трюки і насолоджуватися їздою на відкритому повітрі",B,9,33,59,2023-03-04,2023-06-25
90589935,Зимові шапки,"Планшет - Сучасний планшет з великим екраном і потужними функціями, який дозволяє працювати, вчитися та розважатися з комфортом",C,5,110,2290,2022-06-26,2022-10-08
90879432,Спортивний рюкзак,"Годинник настільний - Стильний та елегантний настільний годинник, який додає шарму і престижу до будь-якого інтер'єру",D,7,121,170,2020-04-09,2022-03-21
89514399,Ручний міксер,"Смартфон - Сучасний смартфон з великим екраном і потужним процесором, який дозволяє виконувати різноманітні завдання і залишатися на зв'язку з друзями та родиною",B,3,1,78,2020-02-23,2023-12-08
92305533,Нічний крем для обличчя,"Сіль для ванни - Ароматизована сіль для ванни, яка допомагає розслабитися і відновити сили після напруженого дня",B,10,165,87,2022-05-26,2022-06-22
65833490,Гітарний педаль,"Лампа для столу - Модна та функціональна лампа для столу, яка забезпечує яскраве та приємне освітлення для роботи чи читання",C,2,61,210,2021-05-14,2022-03-14
10147962,Весільне плаття,"Пазлі для дорослих - Складний та захоплюючий пазл для дорослих, який розвиває логіку та увагу, а також допомагає розслабитися під час вільного часу",B,9,330,82,2020-05-30,2023-07-21
07663833,Рушники для кухні,"Дитяча іграшка - Яскрава та креативна дитяча іграшка, яка стимулює розвиток дитини і надає їй радість та задоволення",A,3,7,73,2021-02-13,2021-11-17
97375258,Кавові зерна,"Жіночі шорти - Стильні та комфортні жіночі шорти, які підходять для активного відпочинку або повсякденного носіння в спекотну погоду",C,2,155,1167,2022-07-30,2022-12-26
08967763,Дитяча іграшка-конструктор,"Манікюрний набір - Професійний манікюрний набір, який дозволяє доглядати за нігтями вдома з комфортом і безпекою",C,4,48,1638,2023-12-10,2024-02-12
93878364,Телескоп,"Пластикова дитяча іграшка - Яскрава та безпечна пластикова дитяча іграшка, яка розвиває уяву та моторику малюка",A,9,2,935,2022-06-30,2022-08-16
62001212,Спальний мішок,"Аудіо-система - Потужна аудіо-система з кришталево чистим звуком, яка доповнює будь-який вечір музикою і атмосферою свята",A,4,445,134,2021-07-02,2023-12-06
23917781,Замок для валізи,"Фітнес-група - Групові фітнес-заняття, які дозволяють займатися спортом разом з друзями або сім'єю і підтримувати здоровий спосіб життя",A,8,260,194,2020-03-30,2022-12-14
49548211,Літературний роман,"Відбивний м'яч - Веселий і захоплюючий відбивний м'яч, який допомагає весело провести час на свіжому повітрі з друзями чи родиною",C,4,191,2315,2023-05-07,2023-07-31
68293376,Крем для ніг,"Сумка для тренажерного залу - Комфортна та практична сумка для тренажерного залу, яка дозволяє зберігати та переносити тренувальний одяг та аксесуари зручно та безпечно",A,5,19,94,2020-10-22,2023-12-08
44506797,Велосипедний шолом,"Зонтик - Компактний та міцний зонтик, який захищає від дощу та сонця, забезпечуючи комфорт та зручність в будь-яку погоду",B,4,24,3059,2022-09-08,2023-04-09
56442663,Жіночі капелюшки,"Гриби - Свіжі та смачні гриби, які додають аромату та смаку в будь-яку страву і збагачують її корисними речовинами",B,2,14,57,2022-09-14,2024-02-12
23868809,Футбольний м'яч,"Жіноча сорочка - Стильна та елегантна жіноча сорочка, яка підходить для будь-якого випадку і підкреслює жіночність та шарм",B,1,25,585,2021-01-03,2023-10-15
55383578,Види вина,"Склянка для коктейлю - Елегантна склянка для коктейлю, яка додає шарму та вишуканості до будь-якого напою і створює атмосферу свята",D,6,6,196,2021-02-25,2022-08-06
36722655,Тостер,"Подушка для сну - Затишна та м'яка подушка для сну, яка забезпечує комфортний і здоровий сон протягом усієї ночі",B,3,59,203,2023-02-25,2023-12-20
76545368,Снігові лижі,"Пенал для офісу - Практичний та функціональний пенал для офісу, який дозволяє зберігати письмові матеріали та аксесуари організовано і зручно",C,5,1,512,2020-05-27,2021-05-09
08650283,Ігрова мишка,"Кавова чашка - Стильна та елегантна кавова чашка, яка додає настрою та задоволення під час кавової паузи",D,8,30,408,2022-10-04,2024-03-31
36327904,Серветки для обличчя,"Кошик для покупок - Комфортний та міцний кошик для покупок, який дозволяє зручно переносити продукти з магазину додому",D,9,242,599,2021-02-08,2021-05-02
83742507,Подушка для сну,"Візок для пляжу - Практичний та зручний візок для пляжу, який дозволяє легко переносити пляжне спорядження та аксесуари на відпочинок",A,5,4,1116,2020-06-17,2023-04-01
98565689,Літні шорти,"Різак для овочів - Функціональний різак для овочів, який дозволяє швидко та легко нарізати овочі для приготування смачних страв",A,8,101,1071,2020-12-14,2021-12-21
51130213,Журнал по моді,"М'який плед - Пухкий та затишний плед, який зігріває в холодну погоду і додає затишку під час вечірнього відпочинку",B,5,2,231,2021-10-06,2022-01-26
50491445,Фільтр для кави,"Поштова листівка - Яскрава та оригінальна поштова листівка, яка допомагає виразити почуття та відправити привітання близьким і друзям",C,8,102,740,2021-07-18,2022-12-16
26734286,Мультфільм на DVD,"Чоловічі труси - Зручні та практичні чоловічі труси, які забезпечують комфорт та підтримку на протязі цілого дня",D,6,564,3093,2022-08-14,2022-12-02
58035825,Комп'ютерний мишак,"Килимок для йоги - Комфортний та м'який килимок для йоги, який допомагає виконувати асани з комфортом і безпекою",C,3,642,119,2023-03-09,2023-09-21
14580222,Дитячий м'який килимок,"Великдень - Яйця, фарби та іграшки - Яскраві та веселі великодні яйця, фарби та іграшки, які додають атмосферу свята та радості до будь-якого святкового столу",C,9,356,702,2023-02-14,2023-10-01
58418758,Корм для собак,"Коробка для прикрас - Стильна та функціональна коробка для прикрас, яка дозволяє зберігати прикраси організовано і безпечно",D,10,6,5230,2021-01-02,2022-04-17
15371713,Годинник на стіну,"Спальний мішок - Зручний та теплий спальний мішок, який забезпечує комфортний сон під час кемпінгу або подорожей на природу",A,10,164,551,2020-03-05,2020-08-09
22659644,Фарби для живопису,"Ігрова миша - Сучасна ігрова миша з високою точністю і швидкістю реакції, яка дозволяє насолоджуватися грою в будь-яку гру з комфортом і задоволенням",D,5,1,597,2021-04-19,2023-10-07
84325235,Шампанське,"Домашня рослина - Оригінальна та красива домашня рослина, яка додає життя і краси в будь-яке приміщення та покращує мікроклімат",B,3,15,135,2023-10-20,2024-04-16
24933186,Електричний чайник,Пляжний коврик - Практичний і зручний пляжний коврик забезпечить комфорт та чистоту під час відпочинку на пляжі або в парку,A,2,9,972,2020-02-28,2022-08-24
71469683,Планшетний комп'ютер,"Фільтр для води - Надійний фільтр для води забезпечить чисту і безпечну воду для використання вдома або в офісі, допомагаючи зберегти здоров'я сім'ї",C,4,547,705,2020-05-26,2022-01-01
35543763,Гаманець,"Комплект посуду - Функціональний комплект посуду, який містить все необхідне для приготування та подачі страв, забезпечить комфорт і зручність в кухні",B,2,5,127,2021-02-13,2021-07-22
25969450,Велосипедний насос,"Чоловіча сорочка - Класична чоловіча сорочка з натуральних матеріалів, яка підкреслить стиль та елегантність свого власника у будь-якому образі",B,2,7,2190,2020-06-27,2023-01-14
13199944,Комплект посуду,"Медичний термометр - Практичний медичний термометр забезпечить точний вимір температури тіла, допомагаючи вчасно виявляти захворювання",D,6,88,636,2021-05-02,2023-06-23
43476985,Вогнегасник,Книга рецептів - Інтересна книга рецептів зі смачними та здоровими стравами надихне на нові кулінарні експерименти та здоровий спосіб життя,B,10,249,5237,2021-11-15,2022-02-04
17194396,Кавовий столик,Водонепроникний рюкзак - Практичний водонепроникний рюкзак забезпечить захист від дощу та зручне перенесення речей під час подорожей або активного відпочинку,A,5,192,590,2021-10-08,2022-07-20
10018385,Лампа для настільного освітлення,Графічний планшет - Професійний графічний планшет дозволить творити художні шедеври та реалізовувати творчі ідеї з максимальною точністю та швидкістю,C,4,112,111,2023-12-04,2024-02-09
38107788,Подорожній чемодан,Дитячий автокрісло - Безпечне та зручне дитяче автокрісло забезпечить захист малюка під час поїздок на автомобілі та дозволить батькам спокійно перевозити дитину,A,3,4,2127,2021-03-11,2022-09-24
42204282,Комп'ютерний стіл,"Настільна гра - Цікава настільна гра стане відмінним варіантом для проведення часу з друзями або родиною, допомагаючи розвинути логіку та спритність",A,9,63,804,2023-08-14,2024-03-06
63834871,Тренажерний м'яч,"Автомобільний протяг - Практичний автомобільний протяг забезпечить комфортний сон під час подорожей або відпочинку на природі, забезпечуючи оптимальну температуру і підтримуючи здоровий сон",C,2,65,1760,2021-02-28,2023-05-17
81651405,Подушка для кормлення,Серветки для обличчя - Доглянута шкіра обличчя завжди в моді! Натуральні серветки для обличчя допоможуть підтримувати свіжість і здоров'я шкіри в будь-який час дня,A,7,90,2466,2023-03-10,2023-10-19
